bioregion_id	title	url_slug	subrealm_id	subrealm	realm	slug_realm
NA01	Greenland	bioregions/greenland-na1/	1	Greenland	Subarctic America	subarctic-america
NA02	Canadian Tundra	bioregions/canadian-tundra-na2/	2	Canadian Tundra	Subarctic America	subarctic-america
NA03	North Alaskan Tundra	bioregions/north-alaskan-tundra-na3/	3	Alaska	Subarctic America	subarctic-america
NA04	Greater Alaska Taiga & Tundra	bioregions/greater-alaska-taiga-tundra-na4/	3	Alaska	Subarctic America	subarctic-america
NA05	Far Northern Pacific Coast	bioregions/far-northern-pacific-coast-na5	3	Alaska	Subarctic America	subarctic-america
NA06	Greater Yukon	bioregions/greater-yukon-na6/	4	Canadian Boreal Forests	Subarctic America	subarctic-america
NA07	Northwest Canadian Taiga, Lakes, & Wetlands	bioregions/northwest-canadian-taiga-lakes-wetlands-na7/	4	Canadian Boreal Forests	Subarctic America	subarctic-america
NA08	Mid-Canada Boreal Plains & Foothill Forests	bioregions/mid-canada-boreal-plains-foothill-forests-na8/	4	Canadian Boreal Forests	Subarctic America	subarctic-america
NA09	Canadian Shield & Coastal Taiga-Forests	bioregions/canadian-shield-coastal-taiga-forests-na9/	4	Canadian Boreal Forests	Subarctic America	subarctic-america
NA15	Pacific Northwest Coastal Forests	bioregions/pacific-northwest-coastal-forests-na15/	5	North Pacific Coast	Northern America	northern-america
NA16	Cascades Mountain Forests & Valleys	bioregions/cascades-mountain-forests-valleys-na16/	5	North Pacific Coast	Northern America	northern-america
NA31	Greater California	bioregions/greater-california-na31/	5	North Pacific Coast	Northern America	northern-america
NA13	Greater Rockies & Mountain Forests	bioregions/greater-rockies-mountain-forests-na13/	6	American West	Northern America	northern-america
NA14	Northwest Intermountain Conifer Forests	bioregions/northwest-intermountain-conifer-forests-na14/	6	American West	Northern America	northern-america
NA17	Columbia Plateau & Blue Mountains	bioregions/columbia-plateau-blue-mountains-na17/	6	American West	Northern America	northern-america
NA18	Great Basin & Columbia Steppe	bioregions/great-basin-columbia-steppe-na18/	6	American West	Northern America	northern-america
