region	city	href	slug	title	country	country_href	country_slug
Africa	Agadez	/wiki/Agadez	Agadez	Agadez	Niger	/wiki/Niger	Niger
Africa	Cidade Velha	/wiki/Cidade_Velha	Cidade_Velha	Cidade Velha	Cape Verde	/wiki/Cape_Verde	Cape_Verde
Africa	Dakar	/wiki/Dakar	Dakar	Dakar	Senegal	/wiki/Senegal	Senegal
Africa	Grand-Bassam	/wiki/Grand-Bassam	Grand-Bassam	Grand-Bassam	Ivory Coast	/wiki/Ivory_Coast	Ivory_Coast
Africa	Harar Jugol	/wiki/Harar_Jugol	Harar_Jugol	Harar Jugol	Ethiopia	/wiki/Ethiopia	Ethiopia
Africa	Island of Mozambique	/wiki/Island_of_Mozambique	Island_of_Mozambique	Island of Mozambique	Mozambique	/wiki/Mozambique	Mozambique
Africa	Lamu	/wiki/Lamu	Lamu	Lamu	Kenya	/wiki/Kenya	Kenya
Africa	Mombasa	/wiki/Mombasa	Mombasa	Mombasa	Kenya	/wiki/Kenya	Kenya
Africa	Saint-Louis	/wiki/Saint-Louis,_Senegal	Saint-Louis,_Senegal	Saint-Louis, Senegal	Senegal	/wiki/Senegal	Senegal
Africa	Timbuktu	/wiki/Timbuktu	Timbuktu	Timbuktu	Mali	/wiki/Mali	Mali
Africa	Zanzibar City	/wiki/Zanzibar_City	Zanzibar_City	Zanzibar City	Tanzania	/wiki/Tanzania	Tanzania
Arab states	Aleppo	/wiki/Aleppo	Aleppo	Aleppo	Syria	/wiki/Syria	Syria
Arab states	Algiers	/wiki/Algiers	Algiers	Algiers	Algeria	/wiki/Algeria	Algeria
Arab states	Cairo	/wiki/Cairo	Cairo	Cairo	Egypt	/wiki/Egypt	Egypt
Arab states	Damascus	/wiki/Damascus	Damascus	Damascus	Syria	/wiki/Syria	Syria
Arab states	Erbil	/wiki/Erbil	Erbil	Erbil	Iraq	/wiki/Iraq	Iraq
Arab states	Essaouira	/wiki/Essaouira	Essaouira	Essaouira	Morocco	/wiki/Morocco	Morocco
Arab states	Fez	/wiki/Fez,_Morocco	Fez,_Morocco	Fez, Morocco	Morocco	/wiki/Morocco	Morocco
Arab states	Ghadames	/wiki/Ghadames	Ghadames	Ghadames	Libya	/wiki/Libya	Libya
Arab states	Ghardaïa	/wiki/Gharda%C3%AFa	Gharda%C3%AFa	Ghardaïa	Algeria	/wiki/Algeria	Algeria
Arab states	Jeddah	/wiki/Jeddah	Jeddah	Jeddah	Saudi Arabia	/wiki/Saudi_Arabia	Saudi_Arabia
Arab states	Kairouan	/wiki/Kairouan	Kairouan	Kairouan	Tunisia	/wiki/Tunisia	Tunisia
Arab states	Marrakesh	/wiki/Marrakesh	Marrakesh	Marrakesh	Morocco	/wiki/Morocco	Morocco
Arab states	Meknes	/wiki/Meknes	Meknes	Meknes	Morocco	/wiki/Morocco	Morocco
Arab states	Muharraq	/wiki/Muharraq	Muharraq	Muharraq	Bahrain	/wiki/Bahrain	Bahrain
Arab states	Rabat	/wiki/Rabat	Rabat	Rabat	Morocco	/wiki/Morocco	Morocco
Arab states	Sanaa	/wiki/Sanaa	Sanaa	Sanaa	Yemen	/wiki/Yemen	Yemen
Arab states	Shibam	/wiki/Shibam	Shibam	Shibam	Yemen	/wiki/Yemen	Yemen
Arab states	Sousse	/wiki/Sousse	Sousse	Sousse	Tunisia	/wiki/Tunisia	Tunisia
Arab states	Tétouan	/wiki/T%C3%A9touan	T%C3%A9touan	Tétouan	Morocco	/wiki/Morocco	Morocco
Arab states	Tunis	/wiki/Tunis	Tunis	Tunis	Tunisia	/wiki/Tunisia	Tunisia
Arab states	Zabid	/wiki/Zabid	Zabid	Zabid	Yemen	/wiki/Yemen	Yemen
Asia and the Pacific	Ahmedabad	/wiki/Ahmedabad,_India	Ahmedabad,_India	Ahmedabad, India	India	/wiki/India	India
Asia and the Pacific	Acre	/wiki/Acre,_Israel	Acre,_Israel	Acre, Israel	Israel	/wiki/Israel	Israel
Asia and the Pacific	Aktau	/wiki/Aktau	Aktau	Aktau	Kazakhstan	/wiki/Kazakhstan	Kazakhstan
Asia and the Pacific	Jaipur	/wiki/Jaipur,_India	Jaipur,_India	Jaipur, India	India	/wiki/India	India
Asia and the Pacific	Andong	/wiki/Andong	Andong	Andong	South Korea	/wiki/South_Korea	South_Korea
Asia and the Pacific	Anuradhapura	/wiki/Anuradhapura	Anuradhapura	Anuradhapura	Sri Lanka	/wiki/Sri_Lanka	Sri_Lanka
Asia and the Pacific	Baku-Old City	/wiki/Old_City_(Baku)	Old_City_(Baku)	Old City (Baku)	Azerbaijan	/wiki/Azerbaijan	Azerbaijan
Asia and the Pacific	Bam	/wiki/Bam,_Iran	Bam,_Iran	Bam, Iran	Iran	/wiki/Iran	Iran
Asia and the Pacific	Bergama	/wiki/Bergama	Bergama	Bergama	Turkey	/wiki/Turkey	Turkey
Asia and the Pacific	Bhaktapur	/wiki/Bhaktapur	Bhaktapur	Bhaktapur	Nepal	/wiki/Nepal	Nepal
Asia and the Pacific	Boeun	/wiki/Boeun_County	Boeun_County	Boeun County	South Korea	/wiki/South_Korea	South_Korea
Asia and the Pacific	Bursa	/wiki/Bursa	Bursa	Bursa	Turkey	/wiki/Turkey	Turkey
Asia and the Pacific	Buyeo County	/wiki/Buyeo_County	Buyeo_County	Buyeo County	South Korea	/wiki/South_Korea	South_Korea
Asia and the Pacific	Chengde	/wiki/Chengde	Chengde	Chengde	China	/wiki/China	China
Asia and the Pacific	Denpasar	/wiki/Denpasar	Denpasar	Denpasar	Indonesia	/wiki/Indonesia	Indonesia
Asia and the Pacific	Diyarbakır	/wiki/Diyarbak%C4%B1r	Diyarbak%C4%B1r	Diyarbakır	Turkey	/wiki/Turkey	Turkey
Asia and the Pacific	Dujiangyan City	/wiki/Dujiangyan_City	Dujiangyan_City	Dujiangyan City	China	/wiki/China	China
