id	title	lon	lat	geowkt	ccodes
8349826	Acre	35.08388889	32.92611111	MULTIPOINT (35.083888888889 32.926111111111)	IL
8349793	Agadez	7.983333333	16.96666667	MULTIPOINT (7.9833333333333 16.966666666667)	NE
8349825	Ahmedabad	72.58	23.03	MULTIPOINT (72.58 23.03)	IN
8349827	Aktau	51.15	43.65	MULTIPOINT (51.15 43.65)	KZ
8349888	Alcalá de Henares	-3.364305	40.481815	MULTIPOINT (-3.364305 40.481815)	ES
8349804	Aleppo	37.15	36.2	MULTIPOINT (37.15 36.2)	SY
8349805	Algiers	3.058611111	36.77638889	MULTIPOINT (3.0586111111111 36.776388888889)	DZ
8349889	Amsterdam	4.9	52.38333333	MULTIPOINT (4.9 52.383333333333)	NL
8349829	Andong	128.725	36.56555556	MULTIPOINT (128.725 36.565555555556)	KR
8349890	Angra do Heroísmo	-27.21527778	38.65583333	MULTIPOINT (-27.215277777778 38.655833333333)	PT
8349830	Anuradhapura	80.41083333	8.335	MULTIPOINT (80.410833333333 8.335000000000001)	LK
8349891	Aranjuez	-3.601658333	40.03224444	MULTIPOINT (-3.6016583333333 40.032244444444)	ES
8350003	Arequipa	-71.53688333	-16.39876389	MULTIPOINT (-71.53688333333299 -16.398763888889)	PE
8349892	Augsburg	10.89833333	48.37166667	MULTIPOINT (10.898333333333 48.371666666667)	DE
8349893	Ávila	-4.696222222	40.65434722	MULTIPOINT (-4.6962222222222 40.654347222222)	ES
8349894	Baeza	-3.466666667	37.98333333	MULTIPOINT (-3.4666666666667 37.983333333333)	ES
8349831	Baku-Old City	49.8325	40.375556		AZ
8349832	Bam	58.358333	29.108333	MULTIPOINT (58.358333 29.108333)	IR
8349895	Bamberg	10.89166667	49.89166667	MULTIPOINT (10.891666666667 49.891666666667)	DE
8349896	Banská Štiavnica	18.89305556	48.45861111	MULTIPOINT (18.893055555556 48.458611111111)	SK
8349897	Bardejov	21.27583333	49.295	MULTIPOINT (21.275833333333 49.295)	SK
8349898	Bath	-2.358611	51.381389	MULTIPOINT (-2.358611 51.381389)	GB
8349899	Beemster	4.9278	52.55	MULTIPOINT (4.9278 52.55)	NL
8350004	Belo Horizonte	-43.94194444	-19.92805556	MULTIPOINT (-43.94194444444445 -19.92805555555556)	BR
8349833	Bergama	27.183333	39.116667	MULTIPOINT (27.183333 39.116667)	TR
8349900	Bergen	5.323333333	60.3925	MULTIPOINT (5.3233333333333 60.3925)	NO
8349901	Berlin	13.38333333	52.51666667	MULTIPOINT (13.383333333333 52.516666666667)	DE
8349902	Bern	7.44743	46.94798	MULTIPOINT (7.44743 46.94798)	CH
8349903	Bernau bei Berlin	13.58305556	52.66666667	MULTIPOINT (13.583055555556 52.666666666667)	DE
8349834	Bhaktapur	85.42777778	27.67222222	MULTIPOINT (85.427777777778 27.672222222222)	NP
