schema_key	dimension	band	basin08_col_s	basin08_col_u	friendly_name	type	units	s_u	status	atlas_id	notes	api_key_s	api_key_u
elevation_min	elevation	A	ele_mt_smn		Elevation minimum	float	m	s	implemented	P01	Basin minimum elevation	elev_min	
elevation_max	elevation	A	ele_mt_smx		Elevation maximum	float	m	s	implemented	P01	Basin maximum elevation	elev_max	
elevation_mean	elevation	A	ele_mt_sav	ele_mt_uav	Elevation mean	float	m	s+u	planned	P01	Mean basin elevation; u available in basin08		
elevation_point	elevation	A			Point elevation	float	m	point	implemented		Derived from OpenTopoData/Open-Meteo; not a basin08 field	elev_point	
relief_range_m	elevation	A			Relief range	float	m	derived	implemented		Derived: elev_max - elev_min	relief_range_m	
relief_position	elevation	A			Relief position	float	0–1	derived	implemented		Derived: (elev_point - elev_min) / relief_range	relief_position	
slope_deg	terrain	A	slp_dg_sav	slp_dg_uav	Slope	float	degrees	s+u	implemented	P02	u already in view as slope_upstream	slope_avg	slope_upstream
stream_gradient	terrain	A	sgr_dk_sav		Stream gradient	float	m/km	s	implemented	P03		stream_gradient	
lithology_id	geology	A	lit_cl_smj		Lithology class ID	integer		s	implemented		Lookup: lu_lit	lithology	
lithology_name	geology	A	lit_cl_smj		Lithology class name	string		s	implemented		Resolved via lu_lit	lith_class	
karst_pct	geology	A	kar_pc_sse	kar_pc_use	Karst area	float	%	s+u	implemented	S07	u already in view as karst_upstream	karst	karst_upstream
erosion_rate	geology	A	ero_kh_sav	ero_kh_uav	Erosion rate	float	t/ha/yr	s+u	planned	S08	Not currently in signature		
glacier_pct	cryosphere	A	gla_pc_sse	gla_pc_use	Glacier/permanent snow	float	%	s+u	planned	L10	Not currently in signature		
permafrost_pct	cryosphere	A	prm_pc_sse	prm_pc_use	Permafrost extent	float	%	s+u	implemented	L09	u available in basin08	permafrost_extent	
snow_cover_annual	cryosphere	C	snw_pc_syr	snw_pc_uyr	Snow cover annual	float	%	s+u	planned	C09	u available in basin08		
snow_cover_max	cryosphere	C	snw_pc_smx		Snow cover maximum	float	%	s	planned	C09			
discharge_annual	discharge	B	dis_m3_pyr		Discharge annual mean	float	m³/s	s	implemented	H01	Cumulative; no upstream avg meaningful	discharge_yr	
discharge_min	discharge	B	dis_m3_pmn		Discharge monthly minimum	float	m³/s	s	implemented	H01		discharge_min	
discharge_max	discharge	B	dis_m3_pmx		Discharge monthly maximum	float	m³/s	s	implemented	H01		discharge_max	
runoff	discharge	B	run_mm_syr		Annual runoff	float	mm/yr	s	implemented	H02		runoff	
groundwater_depth	groundwater	B	gwt_cm_sav		Groundwater table depth	float	cm	s	implemented	H10		gw_table_depth	
soil_water_content	groundwater	B	swc_pc_syr	swc_pc_uyr	Soil water content annual	float	%	s+u	planned	S06	Not currently in signature		
