site_id	name	wiki_slug	place_type	status	summary_chars	total_sections	total_chars	history_chars	history_sections	environment_chars	environment_sections	culture_chars	culture_sections	modern_chars	modern_sections	unmapped_chars	unmapped_sections	bands_present
21	Iguazu National Park	Iguazu_National_Park	natural	ok	229	7	2514	1524	1	990	1	0	0	0	0	0	0	2
22	Uluru-Kata Tjuta National Park	Uluru-Kata_Tjuta_National_Park	natural	ok	545	19	21420	5747	2	8799	6	0	0	1848	1	5026	7	3
23	Historic Centre of Vienna	Vienna	city	ok	3108	81	68025	3752	4	1726	3	14313	9	3846	11	44388	49	4
24	Angkor	Angkor	archaeological	ok	2884	31	27593	1395	2	0	0	1603	3	1971	1	22624	20	3
25	Head-Smashed-In Buffalo Jump	Head-Smashed-In_Buffalo_Jump	archaeological	ok	789	6	4092	1897	1	0	0	405	1	0	0	1790	1	2
26	Summer Palace, Beijing	Summer_Palace	cultural	ok	1625	15	16900	0	1	0	1	878	1	154	1	15868	8	2
27	Old Town of Lijiang	Lijiang	city	ok	1300	28	25371	4239	1	4198	2	7790	6	0	1	9144	15	3
28	Historic Centre of Tallinn	Tallinn	city	ok	2151	45	43067	6446	2	6070	2	7549	7	6956	7	16046	21	4
29	Ellora Caves	Ellora_Caves	archaeological	ok	1950	27	29079	2136	2	777	1	5858	5	0	0	20308	15	3
30	Venice and its Lagoon	Venice	city	ok	3335	66	75851	5912	4	1207	2	15700	12	11585	9	41447	34	4
31	Historic Monuments of Ancient Kyoto	Kyoto	city	ok	2191	43	26724	3254	4	1441	3	8110	9	2264	4	11655	18	4
32	Petra	Petra	archaeological	ok	2050	31	33129	0	1	237	1	5596	3	0	0	27296	21	2
33	Timbuktu	Timbuktu	city	ok	2259	32	39624	6941	3	2921	2	8311	7	3735	4	17716	11	4
34	Historic Sanctuary of Machu Picchu	Machu_Picchu	archaeological	ok	1714	36	39899	4413	3	3167	2	1053	2	2045	1	29221	21	4
35	Historic City of Toledo	Toledo,_Spain	city	ok	1938	27	33790	1800	2	344	1	7580	3	6979	5	17087	13	4
36	Göbekli Tepe	Göbekli_Tepe	archaeological	ok	2760	22	27561	4222	2	2110	1	0	1	0	0	21229	14	2
37	Kyiv (Saint-Sophia Cathedral)	Kyiv	city	ok	2896	63	58300	6791	4	2853	3	16241	13	9086	12	23329	26	4
38	Taos Pueblo	Taos_Pueblo	archaeological	ok	518	29	14974	0	2	775	1	3527	7	1329	2	9343	12	3
39	Cahokia Mounds	Cahokia	archaeological	ok	2227	27	36005	1120	2	3399	1	3538	2	1265	1	26683	15	4
40	Samarkand	Samarkand	city	ok	2673	39	42525	1645	3	887	2	12830	7	1187	3	25976	20	4
