whc_id	city	slug	region	country	ccode	status	summary_chars	total_sections	total_chars	history_chars	history_sections	environment_chars	environment_sections	culture_chars	culture_sections	modern_chars	modern_sections	unmapped_chars	unmapped_sections	bands_present
whc_1	Agadez	Agadez	Africa	Niger	NE	ok	400	13	4568	1946	2	68	1	693	2	0	0	1861	4	3
whc_2	Cidade Velha	Cidade_Velha	Africa	Cape Verde	CV	ok	968	6	3482	2049	1	534	2	0	1	0	0	899	1	2
whc_3	Dakar	Dakar	Africa	Senegal	SN	ok	1023	16	23331	8847	1	2746	3	2851	4	6803	2	2084	1	4
whc_4	Grand-Bassam	Grand-Bassam	Africa	Ivory Coast	CI	ok	621	7	2260	1557	2	676	1	27	1	0	0	0	0	3
whc_5	Harar Jugol	Harar_Jugol	Africa	Ethiopia	ET	ok	1936	25	40360	18943	7	325	1	1945	3	0	0	19147	7	3
whc_6	Island of Mozambique	Island_of_Mozambique	Africa	Mozambique	MZ	ok	602	6	2780	1952	1	0	0	828	1	0	0	0	0	2
whc_7	Lamu	Lamu	Africa	Kenya	KE	ok	601	18	10571	3320	4	75	1	2296	2	2602	2	2278	4	4
whc_8	Mombasa	Mombasa	Africa	Kenya	KE	ok	1704	34	29612	4926	3	1090	2	6001	6	3617	4	13978	11	4
whc_9	Saint-Louis	Saint-Louis,_Senegal	Africa	Senegal	SN	ok	1257	22	16333	3128	5	4173	4	3292	6	1231	1	4509	2	4
whc_10	Timbuktu	Timbuktu	Africa	Mali	ML	ok	2259	32	36746	13012	7	2921	2	12065	8	2480	3	6268	5	4
whc_11	Zanzibar City	Zanzibar_City	Africa	Tanzania	TZ	ok	1602	11	2085	528	1	647	1	363	2	0	0	547	3	3
whc_12	Aleppo	Aleppo	Arab states	Syria	SY	ok	2368	64	74700	30130	18	2003	2	8024	8	6179	8	28364	21	4
whc_13	Algiers	Algiers	Arab states	Algeria	DZ	ok	2247	43	45574	15356	9	4271	4	7431	5	10219	6	8297	8	4
whc_14	Cairo	Cairo	Arab states	Egypt	EG	ok	2336	78	82818	16157	10	4580	2	14021	16	11330	11	36730	29	4
whc_15	Damascus	Damascus	Arab states	Syria	SY	ok	1597	44	57437	32519	13	4391	2	4676	8	4213	2	11638	12	4
whc_16	Erbil	Erbil	Arab states	Iraq	IQ	ok	1924	30	19872	10948	8	448	1	113	2	1360	2	7003	10	4
whc_17	Essaouira	Essaouira	Arab states	Morocco	MA	ok	1042	25	12935	2879	5	1325	2	1183	4	583	1	6965	8	4
whc_18	Fez	Fez,_Morocco	Arab states	Morocco	MA	ok	2669	45	57429	13557	6	3089	4	11754	11	4868	5	24161	12	4
whc_19	Ghadames	Ghadames	Arab states	Libya	LY	ok	646	12	4725	1925	3	863	2	0	0	0	0	1937	2	2
whc_20	Ghardaïa	Ghardaïa	Arab states	Algeria	DZ	ok	1352	16	10575	3383	3	2165	3	3883	5	839	2	305	2	4
whc_21	Jeddah	Jeddah	Arab states	Saudi Arabia	SA	ok	1787	70	41573	5270	6	1555	2	5140	13	4318	5	25290	36	4
whc_22	Kairouan	Kairouan	Arab states	Tunisia	TN	ok	542	29	15016	7227	5	236	3	3930	9	538	3	3085	2	4
whc_23	Marrakesh	Marrakesh	Arab states	Morocco	MA	ok	2406	41	52722	15299	2	3385	4	11667	10	9069	6	13302	12	4
whc_24	Meknes	Meknes	Arab states	Morocco	MA	ok	709	36	29936	11712	6	1006	2	5951	7	2180	7	9087	9	4
whc_25	Muharraq	Muharraq	Arab states	Bahrain	BH	ok	1601	8	2828	1036	1	0	0	909	2	227	2	656	1	3
whc_26	Rabat	Rabat	Arab states	Morocco	MA	ok	1083	35	23642	10893	8	994	2	6439	6	500	3	4816	9	4
whc_27	Sanaa	Sanaa	Arab states	Yemen	YE	ok	1262	49	62200	15982	9	4354	3	9607	7	9744	5	22513	16	4
whc_28	Shibam	Shibam	Arab states	Yemen	YE	ok	990	12	4020	1467	1	663	2	1055	2	0	0	835	2	3
