band,band_label,cultural_var_id,cultural_var,env_feature,env_description,n_categories,n_societies,f_stat,p_value,eta_squared,category_means
A,Physiographic bedrock,EA001,Subsistence economy: gathering,elev_min,Elevation minimum (m),7,1123,6.391799156189085,1.2436674459268565e-06,0.03322282542303184,"{'0-5%': np.float64(473.7588424437299), '6-15%': np.float64(375.5822784810127), '16-25%': np.float64(262.0098039215686), '26-35%': np.float64(626.9444444444445), '36-45%': np.float64(422.7826086956522), '46-55%': np.float64(740.3225806451613), '56-65%': np.float64(656.1290322580645)}"
A,Physiographic bedrock,EA001,Subsistence economy: gathering,elev_max,Elevation maximum (m),7,1123,9.806571303576922,1.4859631396801496e-10,0.05008295297900336,"{'0-5%': np.float64(1417.1350482315113), '6-15%': np.float64(1189.9324894514768), '16-25%': np.float64(878.5098039215686), '26-35%': np.float64(1843.7407407407406), '36-45%': np.float64(1544.5), '46-55%': np.float64(1972.032258064516), '56-65%': np.float64(2134.2903225806454)}"
A,Physiographic bedrock,EA001,Subsistence economy: gathering,slope_avg,Average slope (degrees),7,1123,0.4136241050412578,0.8703176572866868,0.0022188512616877548,"{'0-5%': np.float64(32.940514469453376), '6-15%': np.float64(4.717299578059071), '16-25%': np.float64(44.029411764705884), '26-35%': np.float64(80.03703703703704), '36-45%': np.float64(75.23913043478261), '46-55%': np.float64(62.96774193548387), '56-65%': np.float64(60.74193548387097)}"
A,Physiographic bedrock,EA001,Subsistence economy: gathering,slope_upstream,Upstream slope (degrees),7,1123,0.40494218786557207,0.8760692871581358,0.0021723790319757553,"{'0-5%': np.float64(35.466237942122184), '6-15%': np.float64(7.0168776371308015), '16-25%': np.float64(44.8235294117647), '26-35%': np.float64(86.53703703703704), '36-45%': np.float64(71.1304347826087), '46-55%': np.float64(63.806451612903224), '56-65%': np.float64(61.03225806451613)}"
A,Physiographic bedrock,EA001,Subsistence economy: gathering,stream_gradient,Stream gradient,7,1123,1.1194926955715432,0.3486174647111245,0.005982768975292533,"{'0-5%': np.float64(101.0064308681672), '6-15%': np.float64(69.71308016877637), '16-25%': np.float64(111.38235294117646), '26-35%': np.float64(207.14814814814815), '36-45%': np.float64(176.97826086956522), '46-55%': np.float64(160.03225806451613), '56-65%': np.float64(188.90322580645162)}"
B,Hydro-climatic baselines,EA001,Subsistence economy: gathering,discharge_yr,Annual discharge (m³/s),7,1123,0.7496022476804579,0.6097913413921605,0.004013942941020482,"{'0-5%': np.float64(207.1387953025718), '6-15%': np.float64(360.2689435570481), '16-25%': np.float64(442.4237286527367), '26-35%': np.float64(272.6288561310481), '36-45%': np.float64(95.26465075665519), '46-55%': np.float64(17.529645337452813), '56-65%': np.float64(23.934839218614563)}"
B,Hydro-climatic baselines,EA001,Subsistence economy: gathering,discharge_min,Minimum discharge (m³/s),7,1123,0.5981122255406202,0.7320491304620282,0.0032053498205688296,"{'0-5%': np.float64(75.02710607174261), '6-15%': np.float64(189.33087211621745), '16-25%': np.float64(216.2678697258268), '26-35%': np.float64(112.74083467973051), '36-45%': np.float64(50.543238397401694), '46-55%': np.float64(2.1772903088600404), '56-65%': np.float64(7.716774345826237)}"
B,Hydro-climatic baselines,EA001,Subsistence economy: gathering,discharge_max,Maximum discharge (m³/s),7,1123,0.7707307424309283,0.5929792943302289,0.004126614161475956,"{'0-5%': np.float64(456.72502655062937), '6-15%': np.float64(675.2828434690645), '16-25%': np.float64(799.407446584573), '26-35%': np.float64(568.0278704044996), '36-45%': np.float64(171.68554518922517), '46-55%': np.float64(53.788419437023904), '56-65%': np.float64(59.82983995541449)}"
B,Hydro-climatic baselines,EA001,Subsistence economy: gathering,river_area,River area (km²),7,1123,1.6859841296268694,0.1209801586496445,0.008983004977411798,"{'0-5%': np.float64(418.0042616767132), '6-15%': np.float64(457.9409641475114), '16-25%': np.float64(737.086169088588), '26-35%': np.float64(430.6216339093667), '36-45%': np.float64(400.24541300276053), '46-55%': np.float64(221.96883586145216), '56-65%': np.float64(191.5833228018976)}"
B,Hydro-climatic baselines,EA001,Subsistence economy: gathering,river_area_upstream,Upstream river area (km²),7,1123,0.8397253211632904,0.5392025451130124,0.004494361783715248,"{'0-5%': np.float64(7161.074358177856), '6-15%': np.float64(12641.278909804449), '16-25%': np.float64(17666.23405321439), '26-35%': np.float64(8414.36778498579), '36-45%': np.float64(1245.2951653534951), '46-55%': np.float64(786.171318461818), '56-65%': np.float64(2197.8159533777543)}"
B,Hydro-climatic baselines,EA001,Subsistence economy: gathering,runoff,Runoff (mm/yr),7,1123,4.817482238756956,7.27907835675663e-05,0.025246545453991336,"{'0-5%': np.float64(478.86655948553056), '6-15%': np.float64(581.5654008438819), '16-25%': np.float64(533.9901960784314), '26-35%': np.float64(492.1111111111111), '36-45%': np.float64(641.0652173913044), '46-55%': np.float64(189.32258064516128), '56-65%': np.float64(102.83870967741936)}"
B,Hydro-climatic baselines,EA001,Subsistence economy: gathering,gw_table_depth,Groundwater table depth (cm),7,1123,22.17686389109004,9.235156618174644e-25,0.10652895560330898,"{'0-5%': np.float64(258.88424437299034), '6-15%': np.float64(255.91139240506328), '16-25%': np.float64(245.8921568627451), '26-35%': np.float64(444.6296296296296), '36-45%': np.float64(346.3695652173913), '46-55%': np.float64(558.5806451612904), '56-65%': np.float64(547.2903225806451)}"
