variable,schema_key,friendly_name,band,group,boundary_flag,I_L6,I_L8,delta_I,scale_dir,log_transformed,cluster_core_L6,outlier_pct_L6,pct_HH_L6,pct_LL_L6,pct_HL_L6,pct_LH_L6,LL_fraction,cluster_core_L8,outlier_pct_L8,skewness_L6,missing_pct_L6
ele_mt_sav,elevation_mean,Mean elevation,A,continental-gradient,,0.924128,0.969703,0.04557500000000003,↑,False,40.29,0.17,11.58,28.71,0.01,0.16,0.712583767684289,44.86,0.02,3.0799133551268008,0.0
ele_mt_smn,elevation_min,Elevation minimum,A,continental-gradient,,0.883589,0.943304,0.059715000000000074,↑,False,42.54,0.4,10.58,31.97,0.12,0.28,0.7515279736718382,45.66,0.18,4.3513751816089865,0.0
ele_mt_smx,elevation_max,Elevation maximum,A,mixed,I near 0.85,0.848135,0.932593,0.08445800000000003,↑,False,41.66,1.29,15.48,26.18,0.55,0.74,0.628420547287566,45.77,0.31,1.8636727558760704,0.0
slp_dg_sav,slope_deg,Slope,A,mixed,,0.804834,0.878886,0.0740519999999999,↑,False,45.39,1.67,15.31,30.08,1.06,0.61,0.6627010354703678,51.74,0.47,1.9507471930803957,1.8418003293285357
sgr_dk_sav,stream_gradient,Stream gradient,A,mixed,I near 0.7,0.724825,0.792086,0.0672609999999999,↑,False,39.42,1.83,11.28,28.15,1.35,0.48,0.7141045154743785,45.2,0.77,3.857344392054858,2.5126547539183997
kar_pc_sse,karst_pct,Karst %,A,mixed,I near 0.7,0.675877,0.819658,0.14378100000000005,↑,False,17.81,1.73,10.79,7.01,0.4,1.33,0.3935991016282987,18.64,0.87,2.482614126526107,0.0
gla_pc_sse,glacier_pct,Glacier %,A,mixed,I near 0.7,0.662851,0.820367,0.157516,↑,True,11.77,1.65,2.79,8.98,0.2,1.45,0.7629566694987256,7.44,0.88,15.299792389208092,0.0
ero_kh_sav,erosion_rate,Erosion rate,A,mixed,I near 0.7,0.740836,0.921973,0.181137,↑,False,46.84,0.88,12.15,34.69,0.46,0.43,0.7406063193851408,47.5,0.41,4.609260459959433,0.0
dis_m3_pyr,discharge_annual,Discharge annual,B,network-topology,Δ_I near -0.01,0.582217,0.562947,-0.01927000000000001,↓,True,39.35,2.59,20.41,18.95,0.76,1.83,0.4815756035578144,39.18,3.87,22.525424322516496,0.0
dis_m3_pmn,discharge_min,Discharge monthly min,B,network-topology,,0.613621,0.57345,-0.04017099999999996,↓,True,43.23,2.45,19.32,23.91,0.56,1.89,0.5530881332408051,44.31,3.56,23.640022409184567,0.0
dis_m3_pmx,discharge_max,Discharge monthly max,B,mixed,,0.535193,0.559118,0.023924999999999974,↑,True,36.04,2.67,20.2,15.84,0.91,1.75,0.43951165371809103,36.36,3.81,19.29242223715001,0.0
run_mm_syr,runoff,Annual runoff,B,continental-gradient,I near 0.85,0.874045,0.970703,0.09665800000000002,↑,False,49.12,1.32,12.37,36.75,1.27,0.04,0.7481677524429968,50.64,0.23,2.768870672825544,0.0
gwt_cm_sav,groundwater_depth,Groundwater depth,B,mixed,I near 0.85,0.824437,0.857278,0.03284100000000001,↑,False,45.25,1.18,17.22,28.03,0.77,0.4,0.6194475138121547,47.35,0.56,1.4373014218053752,0.0
swc_pc_syr,soil_water_content,Soil water content,B,continental-gradient,,0.970109,0.99193,0.02182099999999998,↑,False,58.92,1.64,30.46,28.46,1.64,0.0,0.4830278343516633,61.34,0.27,-0.2381852470627638,0.0
ria_ha_ssu,river_area,River area (local),B,local-anomaly,,0.485027,0.590812,0.10578500000000002,↑,True,31.41,3.52,21.99,9.42,1.53,1.99,0.29990448901623684,35.58,3.31,6.981027065027865,0.0
wet_pc_sg1,wetland_pct_g1,Wetland % group 1,B,mixed,,0.597727,0.699716,0.101989,↑,False,33.93,1.43,10.15,23.78,0.45,0.98,0.7008547008547009,30.59,1.15,2.635785797105573,0.0
wet_pc_sg2,wetland_pct_g2,Wetland % group 2,B,mixed,,0.6113,0.705216,0.093916,↑,False,36.91,1.34,9.34,27.57,0.35,0.98,0.7469520455161204,14.58,1.2,3.0413931632224416,0.0
