variable,schema_key,friendly_name,band,scale,mean,median,std,min,max,skewness,kurtosis,zero_fraction,missing_pct,n_basins,log_transformed,I_raw,I_log,I_canonical,p_value,z_score,n_HH,pct_HH,n_LL,pct_LL,n_HL,pct_HL,n_LH,pct_LH,n_NS,pct_NS,cluster_core_pct,outlier_pct,seed,n_permutations
ele_mt_sav,elevation_mean,Mean elevation,A,L6,613.3755565042386,364.0,775.3133822669831,-30.0,5556.0,3.0799133551268008,12.026869345544991,0.0014026956150515,0.0,16397,False,0.924128,0.774646,0.924128,0.001,188.378,1899,11.58,4708,28.71,2,0.01,26,0.16,9762,59.54,40.29,0.17,42,999
ele_mt_smn,elevation_min,Elevation minimum,A,L6,307.62224797219005,122.0,586.156278261888,-598.0,5186.0,4.3513751816089865,25.16944747796611,0.1129474903945843,0.0,16397,False,0.883589,0.81834,0.883589,0.001,177.5888,1734,10.58,5242,31.97,20,0.12,46,0.28,9355,57.05,42.54,0.4,42,999
ele_mt_smx,elevation_max,Elevation maximum,A,L6,1341.113679331585,861.0,1367.1577979435122,-30.0,8654.0,1.8636727558760704,3.7728343899700496,0.0006708544245898,0.0,16397,False,0.848135,0.691419,0.848135,0.001,176.0969,2538,15.48,4293,26.18,90,0.55,122,0.74,9354,57.05,41.66,1.29,42,999
slp_dg_sav,slope_deg,Slope,A,L6,40.523268095681885,24.0,46.54971880731743,0.0,306.0,1.9507471930803957,4.316082143604942,0.0284808196621333,1.8418003293285357,16397,False,0.804834,0.77691,0.804834,0.001,160.6373,2511,15.31,4932,30.08,174,1.06,100,0.61,8680,52.94,45.39,1.67,42,999
sgr_dk_sav,stream_gradient,Stream gradient,A,L6,88.80050046918986,44.0,125.6313088388628,0.0,1969.0,3.857344392054858,23.52058329256447,0.0059157162895651,2.5126547539183997,16397,False,0.724825,0.735485,0.724825,0.001,146.7783,1849,11.28,4615,28.15,221,1.35,79,0.48,9633,58.75,39.42,1.83,42,999
kar_pc_sse,karst_pct,Karst %,A,L6,11.005488808928462,0.0,24.624616650777146,0.0,100.0,2.482614126526107,5.173738768700676,0.6959199853631762,0.0,16397,False,0.675877,0.671999,0.675877,0.001,136.1147,1770,10.79,1150,7.01,65,0.4,218,1.33,13194,80.47,17.81,1.73,42,999
gla_pc_sse,glacier_pct,Glacier %,A,L6,0.4245288772336403,0.0,4.3346183140922125,0.0,100.0,15.299792389208092,268.8087770946831,0.9665792523022504,0.0,16397,True,0.61282,0.662851,0.662851,0.001,133.7135,457,2.79,1473,8.98,33,0.2,237,1.45,14197,86.58,11.77,1.65,42,999
ero_kh_sav,erosion_rate,Erosion rate,A,L6,2589.348661340489,789.0,4762.644897667521,0.0,82450.0,4.609260459959433,36.533244831903694,0.063426236506678,0.0,16397,False,0.740836,0.870376,0.740836,0.001,150.0921,1992,12.15,5688,34.69,75,0.46,70,0.43,8572,52.28,46.84,0.88,42,999
dis_m3_pyr,discharge_annual,Discharge annual,B,L6,828.325616332256,36.154,6601.631866257336,0.0,205605.02,22.525424322516496,597.0071406972586,0.0896505458315545,0.0,16397,True,0.398576,0.582217,0.582217,0.001,120.9474,3346,20.41,3107,18.95,124,0.76,300,1.83,9520,58.06,39.35,2.59,42,999
dis_m3_pmn,discharge_min,Discharge monthly min,B,L6,394.7154555101544,6.332,4255.451832905515,0.0,125376.69,23.640022409184567,622.2116648801561,0.1735683356711593,0.0,16397,True,0.39333,0.613621,0.613621,0.001,127.6559,3168,19.32,3920,23.91,92,0.56,310,1.89,8907,54.32,43.23,2.45,42,999
dis_m3_pmx,discharge_max,Discharge monthly max,B,L6,1571.77837903275,101.1,9711.07018316952,0.0,290310.47,19.29242223715001,472.30597531939566,0.0259193754955174,0.0,16397,True,0.403597,0.535193,0.535193,0.001,110.4601,3312,20.2,2598,15.84,150,0.91,287,1.75,10050,61.29,36.04,2.67,42,999
run_mm_syr,runoff,Annual runoff,B,L6,326.1001402695615,158.0,459.1553523486285,0.0,5696.0,2.768870672825544,11.40026982985782,0.0265292431542355,0.0,16397,False,0.874045,0.938767,0.874045,0.001,183.2613,2029,12.37,6026,36.75,209,1.27,7,0.04,8126,49.56,49.12,1.32,42,999
gwt_cm_sav,groundwater_depth,Groundwater depth,B,L6,234.34408733304872,166.0,219.9538912050016,0.0,1787.0,1.4373014218053752,2.2961047881233183,0.0129901811306946,0.0,16397,False,0.824437,0.788031,0.824437,0.001,169.5399,2824,17.22,4596,28.03,127,0.77,66,0.4,8784,53.57,45.25,1.18,42,999
swc_pc_syr,soil_water_content,Soil water content,B,L6,53.27938037445874,58.0,31.41349288814588,0.0,100.0,-0.2381852470627638,-1.290959543650232,0.0221991827773373,0.0,16397,False,0.970109,0.979909,0.970109,0.001,197.7941,4994,30.46,4667,28.46,269,1.64,0,0.0,6467,39.44,58.92,1.64,42,999
ria_ha_ssu,river_area,River area (local),B,L6,2241.278511374032,914.174,4197.40990197133,0.0,99121.27,6.981027065027865,91.5476630695586,0.0087211075196682,0.0,16397,True,0.416536,0.485027,0.485027,0.001,103.144,3606,21.99,1545,9.42,251,1.53,326,1.99,10669,65.07,31.41,3.52,42,999
wet_pc_sg1,wetland_pct_g1,Wetland % group 1,B,L6,10.883088369823747,2.0,20.30043133469131,0.0,100.0,2.635785797105573,6.81729295673905,0.3309751783862901,0.0,16397,False,0.597727,0.629792,0.597727,0.001,127.1279,1664,10.15,3900,23.78,73,0.45,161,0.98,10599,64.64,33.93,1.43,42,999
wet_pc_sg2,wetland_pct_g2,Wetland % group 2,B,L6,7.878331402085747,0.0,17.135334927115135,0.0,100.0,3.0413931632224416,9.712867739380442,0.5190583643349393,0.0,16397,False,0.6113,0.651552,0.6113,0.001,132.8626,1531,9.34,4521,27.57,58,0.35,161,0.98,10126,61.76,36.91,1.34,42,999
lka_pc_sse,lake_area_pct,Lake area %,B,L6,25.171494785631516,1.0,91.3990016654326,0.0,1000.0,7.240159331984029,62.592453471248334,0.4419101055071049,0.0,16397,True,0.5402,0.684298,0.684298,0.001,140.931,2530,15.43,4073,24.84,247,1.51,133,0.81,9414,57.41,40.27,2.32,42,999
inu_pc_smx,inundation_max,Inundation max,B,L6,11.683112764530096,3.0,18.961700957060877,0.0,100.0,2.4649294832891275,6.469829630730072,0.2970055497956943,0.0,16397,False,0.58882,0.7379,0.58882,0.001,120.9826,1847,11.26,5076,30.96,120,0.73,121,0.74,9233,56.31,42.22,1.47,42,999
dor_pc_pva,degree_of_regulation,Degree of regulation,B,L6,157.79081539305972,0.0,705.8431916790482,0.0,10000.0,9.107985466014464,105.14316391151212,0.7711166676831127,0.0,16397,True,0.318306,0.474985,0.474985,0.001,100.1841,1968,12.0,422,2.57,41,0.25,931,5.68,13035,79.5,14.58,5.93,42,999
cly_pc_sav,pct_clay,Clay %,B,L6,19.65185421994885,19.65185421994885,7.156529484777456,3.0,43.0,0.1911068863682893,-0.5665249351839301,0.0,4.6166981764957,16397,False,0.901613,0.890204,0.901613,0.001,181.2839,3972,24.22,4998,30.48,147,0.9,113,0.69,7167,43.71,54.71,1.59,42,999
slt_pc_sav,pct_silt,Silt %,B,L6,30.72404092071611,32.0,10.94168055083137,2.0,58.0,-0.2930628712056551,-0.6071487427149589,0.0,4.6166981764957,16397,False,0.963721,0.959627,0.963721,0.001,201.7325,4364,26.61,4221,25.74,192,1.17,9,0.05,7611,46.42,52.36,1.23,42,999
snd_pc_sav,pct_sand,Sand %,B,L6,49.62947570332481,49.0,10.447526443529098,17.0,88.0,0.6837809520775321,0.7613550564421625,0.0,4.6166981764957,16397,False,0.872852,0.869239,0.872852,0.001,179.3497,2906,17.72,4367,26.63,141,0.86,412,2.51,8571,52.27,44.36,3.37,42,999
soc_th_sav,soil_organic_carbon,Soil organic carbon,B,L6,50.44616368286445,28.0,54.78272054284155,0.0,615.0,2.2572122161057315,7.750274415333842,0.0002439470634872,4.6166981764957,16397,False,0.857715,0.89177,0.857715,0.001,174.5941,3051,18.61,5312,32.4,313,1.91,7,0.04,7714,47.05,51.0,1.95,42,999
